name,tier,trending,tag,composite_score,efficacy,safety,research,onset,cost,drug_interaction_inverse,description,dose,tips,cycle
Oral rehydration salts (WHO formula),t1,False,Diarrhoea · Dehydration · Clinical,100,5,5,5,5,5,5,"The WHO oral rehydration salt formula is one of the most important medical interventions of the 20th century, estimated to have saved over 50 million lives from dehydration due to diarrhoeal disease. The reduced osmolarity formula speeds intestinal water absorption. Extremely safe, inexpensive, and effective. Evidence base is among the strongest of any intervention in medicine.","WHO formula: 2.6 g NaCl, 2.9 g trisodium citrate, 1.5 g KCl, 13.5 g anhydrous glucose per litre of clean water",Sip frequently in small amounts rather than gulping. Prepare fresh each day. Discard after 24 hours. Seek medical care if unable to keep fluids down or if bloody diarrhoea is present.,
Electrolyte replacement (clinical),t1,False,Hydration · Exercise · Heat illness,98,5,5,5,5,5,4,"Oral rehydration solutions with sodium, potassium, and glucose are the WHO gold standard for dehydration. Proven to prevent thousands of deaths annually from diarrhoeal disease. In sports, replacing sodium at 300–600 mg per hour during prolonged exercise prevents hyponatraemia. A 2024 systematic review confirmed electrolyte drinks outperform plain water for exercise lasting over 60 minutes.",300–600 mg sodium per hour during prolonged exercise; WHO ORS formula for clinical dehydration,Sip throughout exercise rather than drinking large volumes at once. Match sodium intake to sweat rate. Avoid hyponatraemia by not over-drinking plain water during endurance events.,
Creatine monohydrate,t1,True,Performance · Cognition,96,5,5,5,3,5,5,"One of the most researched supplements in existence. Over 500 studies confirm it increases strength, power output, and lean muscle mass by saturating phosphocreatine stores in muscle. The 2024 Xu systematic review (16 RCTs, 492 participants, PMID 39070254) confirms creatine supplementation improves memory (SMD 0.31), attention time (SMD -0.31), and information-processing speed (SMD -0.51), with stronger effects in adults aged 18–60, women, and those with disease states. Safe for long-term use across all age groups with no serious side effects reported in decades of research.",3–5 g/day continuously; optional loading phase: 20 g/day for 5–7 days then 3–5 g/day. Monohydrate is as effective as more expensive forms.,Take with water at any time of day. No food timing needed. Stay well hydrated throughout the day.,Safe for continuous daily use indefinitely. No cycling needed. One of the most extensively studied supplements for long-term safety across all age groups.
Psyllium husk (soluble fibre),t1,False,Cholesterol · Gut regularity · Glucose,94,5,5,5,3,5,4,"One of the best-evidenced fibre supplements. FDA authorises the health claim that 7 g/day soluble fibre from psyllium reduces coronary heart disease risk. A Cochrane review of 28 trials confirmed it lowers LDL-C, total cholesterol, and triglycerides. The 2024 Zhu meta-analysis (29 RCTs, 2,769 participants, PMID 38688104) confirms a 0.35 mmol/L LDL reduction — equivalent to ~7% reduction in CVD risk. Soluble fibre is also a guideline first-line for IBS-C and post-prandial glucose control.",5–10 g/day in divided doses with at least 250 mL water per dose; start at 2.5 g and increase gradually,Always take with a full glass of water. Space 2 hours from medications — psyllium can reduce drug absorption. Build up slowly over 1–2 weeks to avoid bloating.,
Oat beta-glucan (cholesterol),t2,False,LDL cholesterol · FDA health claim · Soluble fibre · Heart health · Evidence,94,5,5,5,3,5,4,"The viscous soluble fibre from oats and oat bran that forms a gel in the gut, trapping bile acids and slowing cholesterol and glucose absorption. The FDA approved the specific health claim in 1997: ""3 g/day beta-glucan from oats reduces risk of coronary heart disease."" A 2014 Cochrane meta-analysis of 58 RCTs (N=3,974) confirmed it reduces LDL by an average of 5–10% at 3 g/day with excellent safety. Effect is dose-dependent and highly consistent. Unlike most supplements, oat beta-glucan has one of the strongest, most replicated evidence bases in nutritional science — equivalent to a pharmaceutical agent for LDL reduction.","3 g/day soluble oat beta-glucan (≈1.5 cups cooked oatmeal, or ¾ cup dry oat bran, or 3 g concentrated supplement)",Can be obtained from food or supplement form — both equally effective. Effectiveness depends on molecular weight (higher MW forms a better gel). Drink with plenty of water. Consistent daily intake over 4+ weeks for maximum effect. Works synergistically with statin therapy to further reduce LDL.,Safe for continuous daily use indefinitely. Benefits reverse quickly if discontinued. One of the few supplements with an FDA-approved health claim. No cycling needed.
Caffeine (standardised),t1,False,Performance · Alertness · Endurance,92,5,4,5,5,5,3,"The most widely consumed psychoactive compound globally. ISSN position stand confirms 3–6 mg/kg body weight improves endurance performance, strength, and reaction time. Meta-analyses confirm significant ergogenic effects across dozens of sport types. Tolerance develops with chronic use. Avoid after 2 PM to protect sleep. Lethal dose is approximately 10 g — stay well below this.",100–400 mg 30–60 min before exercise; 3–6 mg/kg body weight for performance; do not exceed 400 mg/day,Take 30–60 min before exercise. Avoid after 2 PM to protect sleep quality. Cycle off periodically to reset tolerance. Avoid combining with ephedra or synephrine.,
Protein supplementation (clinical sarcopenia),t1,False,Muscle · Aging · Sarcopenia,92,5,5,5,2,4,5,"ESPEN and PROT-AGE guidelines recommend 1.2–1.5 g/kg/day protein for older adults to prevent sarcopenia. A 2024 meta-analysis of 36 trials confirmed higher protein intake combined with resistance exercise significantly preserves muscle mass and strength in adults over 65. Any complete protein source works — whey, casein, soy, or food. Evidence is conclusive for clinical sarcopenia prevention.",1.2–1.5 g/kg/day total protein for adults over 65; 20–40 g per meal; supplement if dietary intake is insufficient,Distribute protein evenly across meals — 20–40 g per meal is optimal for muscle protein synthesis. Leucine-rich sources like whey are most effective. Combine with resistance exercise for best results.,
Electrolyte complex (Na/K/Mg),t1,False,Hydration · Performance · Recovery,90,4,5,4,5,5,5,"Replaces minerals lost through sweat. Clinical evidence confirms that replacing sodium, potassium, and magnesium during exercise over 60 minutes improves endurance, reduces cramping, and maintains performance. Sodium is the critical electrolyte — water alone does not fully restore fluid balance. Especially important in heat or for heavy sweaters. Very safe at recommended doses.",300–600 mg sodium + 75–150 mg potassium + 50–100 mg magnesium per hour of intense exercise; consume with adequate water,Mix with water and drink during exercise. Do not take with plain water alone during intense sessions — sodium is critical. Avoid high-sugar sports drinks alongside.,
Lactase enzyme,t2,False,Lactose intolerance · Dairy digestion,90,4,5,4,5,5,5,Provides the enzyme your small intestine needs to break down lactose in dairy. Cochrane confirmed lactase supplements effectively prevent lactose intolerance symptoms when taken with dairy foods. Works immediately — there is no loading period. You must take it at the moment you eat dairy for it to work. Extremely safe with no systemic absorption and no drug interactions whatsoever.,"6,000–9,000 FCC lactase units chewed or swallowed at the very first bite of a dairy-containing food. Higher dairy loads may need 18,000+ FCC. Does not work if taken before or after the meal.",Take at the very first bite of dairy-containing food — must be present when lactose arrives. Does not work if taken before or after the meal. Available as drops for infants.,
Fibre (general dietary),t2,False,Gut · Heart · Glucose,89,4,5,5,3,5,5,"One of the best-supported nutrients in science. A Lancet meta-analysis of 185 studies found each additional 8 g/day reduces heart disease risk by 19% and type 2 diabetes risk by 15%. Most adults get only half the recommended amount. Soluble fibre (oats, psyllium, legumes) lowers cholesterol and blood sugar; insoluble fibre (bran, vegetables) supports regularity and feeds beneficial gut bacteria.",25–38 g/day total from food and supplements; increase intake gradually by 5 g per week to avoid bloating,"Take with a large glass of water. Increase dose gradually over 2–3 weeks to avoid bloating. Space fibre 1–2 hours away from medications and from minerals (iron, calcium, zinc) — fibre can reduce their absorption. Spread across meals if total >10 g/day.",
